GATE_SU_DS: -388.0273><-330.6991><-568.2374><-461.7036><2><><48><35
GATE_SU_HI: 294.1464><426.0029><291.632><695.966><1><><48><35
GATE_LF_SU: -1997.028><191.3009><-1620.238><374.2964><1><><48><35
SU_B13: 207.89><349.895><169.863><599.9464><1><Outskirts><48><78
SU_A33: 210.8907><209.8952><169.863><468.9463><1><Outskirts><48><37
SU_B04: 447.8903><201.8954><331.8633><408.9463><1><Outskirts><106><35
SU_A34: 212.8907><208.8952><169.863><343.9467><1><Outskirts><48><35
SU_A37: 687.8914><194.8955><605.8627><405.9463><1><Outskirts><54><35
SU_A63: 845.8914><185.8955><780.8627><414.9463><1><Outskirts><50><36
SU_B12: 1087.889><176.8955><950.8627><414.9467><1><Outskirts><110><35
SU_A17: 1342.889><178.8955><1219.862><394.9463><1><Outskirts><54><37
SU_A40: 1482.889><130.8956><1378.862><245.9465><0><Outskirts><50><36
SU_B07: 1245.889><98.89575><1123.862><130.9465><0><Outskirts><104><33
SU_A02: 1009.892><108.8958><953.8627><130.9465><0><Outskirts><54><35
SU_A53: 847.8914><120.8957><783.8627><126.9467><0><Outskirts><50><38
SU_A39: 687.8914><124.8956><614.8627><224.9465><0><Outskirts><54><37
SU_A38: 682.8914><115.8957><618.8627><80.94669><0><Outskirts><54><35
SU_A25: 772.8914><-3.104586><782.8627><-29.05364><0><><54><35
SU_A24: 771.8914><-114.105><802.8627><-176.0537><0><><54><35
SU_A23: 599.8906><-113.105><663.8627><-176.0537><0><><54><35
SU_A22: 496.8901><-221.105><594.8633><-333.0537><0><><48><35
SU_C04: -35.00691><-124.72><71.72128><-183.8906><1><><155><35
SU_A41: 278.9936><-120.72><402.7213><-178.8906><1><><54><35
SU_A42: 287.9936><-18.71969><413.7213><-53.89082><1><><48><35
SU_A43: 439.993><-113.7199><539.7215><-178.8906><1><><51><35
SU_A44: 432.993><-120.72><346.7213><-334.8906><2><><48><35
SU_A06: 513.8906><115.8957><447.8632><140.9465><0><Outskirts><54><35
SU_A36: 343.8902><110.8958><289.8634><157.9465><0><Outskirts><54><35
SU_B08: 101.8899><101.8958><15.863><157.9466><0><Outskirts><104><35
SU_B09: -144.1093><163.8955><-159.137><153.9466><0><Outskirts><52><78
SU_A35: -95.11008><148.8956><-36.1369><293.9463><1><Outskirts><54><35
SU_A20: 55.88991><209.8952><22.86311><438.9463><1><Outskirts><54><35
SU_A31: -297.1098><183.8955><-289.1368><248.9465><1><Outskirts><48><35
SU_A32: -595.1085><86.89575><-521.1373><262.9467><1><Outskirts><48><35
SU_B05: -925.1116><99.89566><-777.1373><261.9467><1><Outskirts><54><78
